,Unnamed: 0,datetime,city,state,country,shape,duration (seconds)
1865,50864,2009-06-02 19:30:00,new york city (bronx),ny,us,rectangle,20.0
1866,50871,2010-06-02 09:30:00,garden city,ny,us,cigar,900.0
1867,50915,2012-06-02 22:00:00,webster,ny,us,circle,120.0
1868,50945,1972-06-22 23:45:00,millerton (coleman station rd.),ny,us,disk,900.0
1869,50981,2002-06-22 15:00:00,marion,ny,us,teardrop,600.0
1870,51005,2004-06-22 22:25:00,buffalo,ny,us,light,7.0
1871,51009,2005-06-22 01:35:00,new york city (staten island),ny,us,triangle,10.0
1872,51060,2009-06-22 08:45:00,rockville center,ny,,circle,3.0
1873,51074,2011-06-22 14:36:00,hudson falls,ny,us,fireball,120.0
1874,51076,2011-06-22 21:00:00,pomona,ny,us,fireball,10.0
1875,51096,2012-06-22 21:15:00,west edmeston,ny,us,fireball,60.0
1876,51111,2012-06-22 23:00:00,webster,ny,us,diamond,240.0
1877,51133,2013-06-22 21:33:00,new york city (brooklyn),ny,us,other,60.0
1878,51135,2013-06-22 22:00:00,albany,ny,us,fireball,600.0
1879,51152,2013-06-22 22:35:00,barker,ny,us,fireball,10.0
1880,51181,1990-06-23 22:25:00,salem,ny,us,egg,2700.0
1881,51182,1991-06-23 22:00:00,new york city (far rockaway) (queens),ny,us,other,3600.0
1882,51194,1999-06-23 04:21:00,orchard park,ny,us,disk,60.0
1883,51238,2004-06-23 02:00:00,fairport,ny,us,sphere,120.0
1884,51274,2007-06-23 17:00:00,new york city,ny,us,circle,2700.0
1885,51287,2007-06-23 23:30:00,heuvelton,ny,us,triangle,720.0
1886,51294,2008-06-23 21:30:00,new york city (brooklyn),ny,us,sphere,120.0
1887,51307,2009-06-23 04:00:00,new york city (queens),ny,us,light,300.0
1888,51329,2010-06-23 23:30:00,chappaqua,ny,us,sphere,120.0
1889,51337,2012-06-23 00:00:00,rome,ny,us,disk,900.0
1890,51350,2012-06-23 21:15:00,north babylon,ny,us,circle,600.0
1891,51359,2012-06-23 22:00:00,south wales,ny,us,sphere,60.0
1892,51366,2012-06-23 22:30:00,staten island,ny,,fireball,600.0
1893,51371,2012-06-23 23:00:00,hoosick,ny,us,light,3600.0
1894,51411,1995-06-24 22:30:00,farmingdale,ny,us,,600.0
1895,51446,2002-06-24 20:15:00,new york city,ny,us,light,7200.0
1896,51467,2004-06-24 20:57:00,sound beach,ny,us,unknown,5.0
1897,51469,2004-06-24 21:50:00,webster,ny,us,light,600.0
1898,51485,2005-06-24 22:46:00,east rochester,ny,us,circle,25.0
1899,51533,2009-06-24 22:00:00,morrisville,ny,us,other,30.0
1900,51537,2009-06-24 22:30:00,morrisville,ny,us,cigar,20.0
1901,51562,2011-06-24 21:00:00,canandaigua,ny,us,light,360.0
1902,51615,1962-06-25 02:00:00,ossining,ny,us,unknown,900.0
1903,51623,1970-06-25 15:00:00,poughkeepsie,ny,us,disk,240.0
1904,51624,1972-06-25 15:00:00,albany,ny,us,cigar,10.0
1905,51662,2000-06-25 19:30:00,new york city (flushing/meadel park/queens ),ny,us,oval,1800.0
1906,51731,2005-06-25 23:00:00,huntington station,ny,us,sphere,300.0
1907,51732,2005-06-25 23:00:00,lima,ny,us,unknown,3600.0
1908,51790,2010-06-25 23:35:00,utica,ny,us,light,60.0
1909,51844,2013-06-25 22:00:00,bellport,ny,us,circle,60.0
1910,51849,2013-06-25 23:20:00,ogdensburg,ny,us,light,900.0
1911,51879,2001-06-26 02:30:00,mahopac,ny,us,circle,3600.0
1912,51928,2005-06-26 02:36:00,kerhonkson,ny,us,formation,45.0
1913,51954,2008-06-26 00:00:00,long lake,ny,us,light,2.0
1914,51955,2008-06-26 11:00:00,northport,ny,us,formation,60.0
1915,51960,2008-06-26 23:30:00,dix hills,ny,us,circle,2.0
1916,52004,2011-06-26 23:30:00,north babylon,ny,us,light,900.0
1917,52046,1997-06-27 20:00:00,north babylon (long island),ny,us,triangle,1215.0
1918,52051,1998-06-27 22:40:00,penfield,ny,us,circle,120.0
1919,52057,2000-06-27 00:03:00,west chazy,ny,us,unknown,180.0
1920,52077,2002-06-27 22:25:00,selden,ny,us,formation,240.0
1921,52096,2004-06-27 21:45:00,new york city,ny,us,fireball,1.0
1922,52243,2002-06-28 13:26:00,new york city (staten island),ny,us,egg,30.0
1923,52257,2003-06-28 23:12:00,new york city (brooklyn),ny,us,disk,360.0
1924,52260,2003-06-28 23:30:00,new york city (manhattan),ny,us,disk,600.0
1925,52261,2003-06-28 23:30:00,new york city (queens),ny,us,disk,900.0
1926,52305,2008-06-28 03:00:00,northport,ny,us,sphere,300.0
1927,52309,2008-06-28 20:50:00,auburn,ny,us,circle,120.0
1928,52332,2010-06-28 16:00:00,lyndonville,ny,us,circle,15.0
1929,52479,2008-06-29 03:00:00,liberty,ny,us,disk,3600.0
1930,52488,2009-06-29 00:15:00,new york,ny,us,egg,300.0
1931,52523,2011-06-29 22:15:00,new york city (staten island),ny,us,light,30.0
1932,52570,2013-06-29 21:40:00,baldwinsville,ny,us,circle,180.0
1933,52571,2013-06-29 21:40:00,baldwinsville,ny,us,sphere,180.0
1934,52598,1951-06-30 07:00:00,jackson heights,ny,us,disk,5.0
1935,52601,1952-06-30 13:00:00,new york city (bronx),ny,us,disk,60.0
1936,52619,1957-06-30 12:00:00,new york city,ny,us,teardrop,600.0
1937,52622,1957-06-30 20:00:00,barker,ny,us,disk,180.0
1938,52632,1959-06-30 20:00:00,new york city (bronx),ny,us,oval,1200.0
1939,52643,1962-06-30 18:00:00,bethpage,ny,us,triangle,300.0
1940,52661,1965-06-30 21:00:00,blasdell,ny,us,oval,30.0
1941,52662,1965-06-30 22:00:00,otisville (near),ny,us,unknown,30.0
1942,52668,1966-06-30 05:00:00,new york city (bronx),ny,us,circle,10.0
1943,52735,1974-06-30 18:30:00,new york,ny,us,disk,900.0
1944,52738,1974-06-30 21:00:00,herkimer,ny,us,cigar,120.0
1945,52740,1974-06-30 21:00:00,new york city (bronx),ny,us,circle,600.0
1946,52744,1975-06-30 00:00:00,rocky point,ny,us,light,900.0
1947,52768,1976-06-30 21:15:00,elmira heights,ny,us,circle,1200.0
1948,52784,1978-06-30 16:00:00,elmsford,ny,us,disk,120.0
1949,52790,1978-06-30 21:00:00,new york city (bronx),ny,us,oval,900.0
1950,52809,1981-06-30 19:00:00,sharon springs,ny,us,circle,14400.0
1951,52838,1985-06-30 20:00:00,white plains,ny,us,chevron,6000.0
1952,52862,1989-06-30 21:00:00,ellenville,ny,us,other,120.0
1953,52875,1991-06-30 22:00:00,newburgh,ny,us,diamond,300.0
1954,52883,1993-06-30 10:00:00,rochester,ny,us,changing,300.0
1955,52886,1993-06-30 20:00:00,new york city (yonkers),ny,us,other,150.0
1956,52900,1995-06-30 10:00:00,northport,ny,us,light,300.0
1957,52965,2000-06-30 22:00:00,bedford,ny,us,light,300.0
1958,52966,2000-06-30 22:00:00,buffalo,ny,us,triangle,120.0
1959,52992,2001-06-30 23:00:00,pine bush,ny,us,triangle,600.0
1960,53021,2003-06-30 17:00:00,syracuse,ny,us,fireball,1800.0
1961,53059,2005-06-30 00:00:00,stony brook,ny,us,sphere,2.0
1962,53113,2007-06-30 18:35:00,new york city (brooklyn),ny,us,triangle,120.0
1963,53129,2008-06-30 01:30:00,king ferry,ny,us,other,120.0
1964,53131,2008-06-30 03:00:00,highland,ny,us,triangle,300.0
1965,53140,2008-06-30 16:00:00,bohemia,ny,us,disk,180.0
